NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2013",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES     ,62,"$200,000 ","$970,042 ","$859,250 ","$2,660,600 "
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES   ,11,"$225,000 ","$869,073 ","$925,000 ","$1,375,000 "
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES     ,48,"$225,000 ","$1,506,541 ","$934,375 ","$5,000,000 "
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES     ,66,"$245,000 ","$952,811 ","$647,500 ","$4,200,000 "
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES   ,20,"$350,000 ","$793,100 ","$759,000 ","$1,250,000 "
OLD MILL BASIN           ,01 ONE FAMILY HOMES     ,54,"$225,000 ","$386,281 ","$389,950 ","$571,837 "
OLD MILL BASIN           ,02 TWO FAMILY HOMES     ,28,"$351,000 ","$489,508 ","$467,996 ","$756,234 "
OLD MILL BASIN           ,03 THREE FAMILY HOMES   ,3,"$550,000 ","$580,333 ","$570,000 ","$621,000 "
PARK SLOPE               ,01 ONE FAMILY HOMES     ,13,"$1,250,000 ","$2,886,923 ","$2,950,000 ","$4,275,000 "
PARK SLOPE               ,02 TWO FAMILY HOMES     ,47,"$300,000 ","$1,873,128 ","$1,800,000 ","$4,750,000 "
PARK SLOPE               ,03 THREE FAMILY HOMES   ,27,"$682,657 ","$2,066,210 ","$2,045,000 ","$3,850,000 "
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES     ,8,"$450,000 ","$1,442,203 ","$1,351,313 ","$2,575,000 "
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES     ,33,"$300,000 ","$1,246,996 ","$1,350,000 ","$2,200,000 "
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES   ,9,"$880,000 ","$1,469,889 ","$1,370,000 ","$2,999,000 "
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES     ,2,"$500,000 ","$550,000 ","$550,000 ","$600,000 "
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES     ,19,"$360,000 ","$1,500,237 ","$1,250,000 ","$3,300,000 "
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES   ,7,"$995,000 ","$1,729,143 ","$1,472,000 ","$3,100,000 "
RED HOOK                 ,01 ONE FAMILY HOMES     ,6,"$575,000 ","$1,091,250 ","$983,750 ","$1,900,000 "
RED HOOK                 ,02 TWO FAMILY HOMES     ,10,"$246,900 ","$866,190 ","$695,000 ","$2,485,000 "
RED HOOK                 ,03 THREE FAMILY HOMES   ,3,"$250,000 ","$505,000 ","$340,000 ","$925,000 "
SEAGATE                  ,01 ONE FAMILY HOMES     ,5,"$300,000 ","$496,000 ","$410,000 ","$980,000 "
SEAGATE                  ,02 TWO FAMILY HOMES     ,4,"$220,000 ","$358,875 ","$382,750 ","$450,000 "
SEAGATE                  ,03 THREE FAMILY HOMES   ,3,"$294,060 ","$534,853 ","$490,500 ","$820,000 "
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES     ,68,"$220,000 ","$498,334 ","$495,500 ","$950,000 "
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES     ,92,"$241,500 ","$579,562 ","$550,500 ","$1,175,000 "
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES   ,13,"$300,000 ","$655,558 ","$700,000 ","$965,000 "
SPRING CREEK             ,01 ONE FAMILY HOMES     ,52,"$355,663 ","$389,490 ","$355,663 ","$551,567 "
